From,Amount,
0x765dc1c6F388D20FA880FEcFCbe6aaBe1485f8ba,349200,
0xD6dCbdeCb0757F648A60612e08B748c0B6AD46fE,791200,
0x146Ba359654728c98085D6562A84eF65F39f1d77,239800,
0xD777FCBB50B3F454A1A7f08c508F543512c3Be87,147200,
0xb55d17a1e777bB1C4EA2383569CC5760166246A3,73600,
0x3748412Ba19e338Cf255066691095607F45a8D0C,73600,
0xD648b2a801cff119954154412E88bc53593Fd557,73600,
0xb87d237E6D7F1E62f8391D646a0B318bCE075f13,73600,
0x12dF95d73C22E41daF68Db7E91D47ddE6746EDA3,73600,
0x423eAea7cE1f3F179eA4589879d35F40800244b1,92600,
0x7bAE19552BF19DAD90ddA4aa9031CD8211356e45,239800,
0xAE4f508bbaB3e4910474A02c56f999e928488D5C,220800,
0xb243d7165eA297a7D84825701e15471BF980ef89,73600,
0xFcFEA781E5652b5Cee1C0693429B246885227F83,515400,
0xcCbCcd2a2Ebb56B0d5d76c2d145e5DAF600ddBd5,534400,
0x0eEfb05E2a0223A5168e1080Ce5Cd3Fc680D7bCE,368000,
0xB9ba56bBCeE908Ec63c03C0F127C40A914d1Bc6c,73600,
0xE39602841BE74E1bf55602CDBF720f8d67f2032F,479800,
0xb98439f2bB37d301235C401dDBE69b79CfDb092B,73600,
0x18305Ee7c1D752853755F1965ED2753cC44f85ba,73600,
0x812D84d16208C1acDd4Aa199ff20cf7f98b5Ea24,166200,
0xecbC6dBe8EbfBea3d870b7E75B55466d6b7e10aF,1052000,
0x491C6d05eaE69363663e0541C171C560208760a9,368000,
0xb65AEbF7CC84b3F6818A6277B762760121DC9492,258800,
0x3f2b510085A712972B0F2fF0eE379D59d3970A95,349200,
0x0852CdeDe17213B5F0E063Bb93dC43d9923fCbeE,572400,
0x54748bDdab8a0fF5E41B8cF082aBa587678B1700,73600,
0x8DC0d27DACbaf826c03c5D8090930019057994bC,1052000,
0x329Ab1E0fCF1c267fb4AC0167b59c6236Af3FcfB,349200,
0xF441ee154cf74eFf2a3a5AF4eDC36514b5e7ef40,92600,
0xF62d4EB094229b49AdDcf5e408808f018063e00A,73600,
0x833202293c73b20432E0ad267dB8096B02b941ee,73600,
0x43F605b80cFE8328efa03aF5df65deDd3746Bd40,572400,
0xf48a9181BE542C374092EDb57d0BE21120E62056,572400,
0xe70d6aC6583F855cb9300791ebE1a0ab2669577D,73600,
0x53cd0a93aBD9923E58d8778836bef76Ab5Ff982A,73600,
